,DATE,CSUSHPISA,Year,Month,EmpRate,Per_capita_GDP,FEDFUNDS,mortgage,UNRATE,Cons_Material,CPI,No_households,subsidy,median_income,working_age_pop
0,1-Jan-2002,117.144,2002,1,72.01614021,50091.0,1.73,1532,5.7,142.0,177.7,109297.0,24.183,65820.0,182566431.9
1,1-Feb-2002,117.845,2002,2,72.33300538,50156.0,1.74,1423,5.7,142.2,178.0,109297.0,24.183,65820.0,182798390.1
2,1-Mar-2002,118.687,2002,3,72.13188333,50221.0,1.73,1358,5.7,143.2,178.5,109297.0,24.183,65820.0,183078312.4
3,1-Apr-2002,119.611,2002,4,71.91484697,50286.0,1.75,1397,5.9,143.5,179.3,109297.0,24.183,65820.0,183260453.0
4,1-May-2002,120.724,2002,5,72.02601172,50311.333333333336,1.75,1467,5.8,143.8,179.5,109297.0,24.183,65820.0,183508212.5
5,1-Jun-2002,121.813,2002,6,71.84171303,50336.666666666664,1.75,1380,5.8,144.3,179.6,109297.0,24.183,65820.0,183669058.4
6,1-Jul-2002,122.888,2002,7,71.74790532,50362.0,1.73,1507,5.8,144.7,180.0,109297.0,24.183,65820.0,183886883.5
7,1-Aug-2002,123.83,2002,8,71.88924608,50342.0,1.74,1456,5.7,145.1,180.5,109297.0,24.183,65820.0,184159563.8
8,1-Sep-2002,124.78,2002,9,72.0776091,50322.0,1.75,1501,5.7,145.4,180.8,109297.0,24.183,65820.0,184422418.0
9,1-Oct-2002,125.735,2002,10,71.88983684,50302.0,1.75,1416,5.7,145.0,181.2,109297.0,24.183,65820.0,184554226.0
10,1-Nov-2002,126.67,2002,11,71.54179547,50355.333333333336,1.34,1401,5.9,144.6,181.5,109297.0,24.183,65820.0,184744733.2
11,1-Dec-2002,127.624,2002,12,71.57008004,50408.666666666664,1.24,1432,6.0,144.3,181.8,109297.0,24.183,65820.0,184860046.2
12,1-Jan-2003,128.461,2003,1,71.58983079,50462.0,1.24,1598,5.8,144.4,182.6,111278.0,25.93,65860.0,185635346.4
13,1-Feb-2003,129.355,2003,2,71.52143052,50573.333333333336,1.26,1590,5.9,145.2,183.6,111278.0,25.93,65860.0,185869692.3
14,1-Mar-2003,130.148,2003,3,71.39756671,50684.666666666664,1.25,1577,5.9,145.2,183.9,111278.0,25.93,65860.0,186085118.2
15,1-Apr-2003,130.884,2003,4,71.37739199,50796.0,1.26,1399,6.0,145.9,183.2,111278.0,25.93,65860.0,186470754.0
16,1-May-2003,131.735,2003,5,71.21306719,51034.666666666664,1.26,1428,6.1,145.8,182.9,111278.0,25.93,65860.0,186649078.0
17,1-Jun-2003,132.649,2003,6,71.21503113,51273.333333333336,1.22,1468,6.3,146.1,183.1,111278.0,25.93,65860.0,186800679.6
18,1-Jul-2003,133.777,2003,7,70.9894875,51512.0,1.01,1566,6.2,147.0,183.7,111278.0,25.93,65860.0,187066500.3
19,1-Aug-2003,134.969,2003,8,71.00340322,51670.0,1.03,1665,6.1,147.2,184.5,111278.0,25.93,65860.0,187304009.5
20,1-Sep-2003,136.294,2003,9,70.91972839,51828.0,1.01,1544,6.1,149.0,185.1,111278.0,25.93,65860.0,187538981.3
21,1-Oct-2003,137.531,2003,10,71.05646423,51986.0,1.01,1586,6.0,149.6,184.9,111278.0,25.93,65860.0,187738514.8
22,1-Nov-2003,138.794,2003,11,71.13839361,52050.333333333336,1.0,1473,5.8,150.2,185.0,111278.0,25.93,65860.0,187972351.6
23,1-Dec-2003,140.179,2003,12,71.11762714,52114.666666666664,0.98,1483,5.7,149.7,185.5,111278.0,25.93,65860.0,188136094.9
24,1-Jan-2004,141.646,2004,1,71.27865153,52179.0,1.0,1670,5.7,150.0,186.3,112000.0,27.201,65760.0,187688839.5
